Question_ID,Question,Selections,Answer,Explanation
1,社会工作者小孙为了促进邻里互助，举办了系列主题活动，向居民宣传互帮互助的意义 ，鼓励居民加人社区志愿服务 ，推动成立了社区助老服务队 ，安排志愿者定期探访社区独居的高龄老人 。小孙的上述工作体现了社会工作文化层面的目标是（）。,A.  激发潜能 B. 促进社会公正C. 促进发展 D. 促进社会团结,D,"本题考查的是社会工作文化层面的目标。文化层面的目标包括:(1)弘扬人道主义;(2)促进社会团结。社会团结是指人们因为利益和价值相关而形成的相互亲和、相互包容、协商共识、共同发展的状态。小孙的工作是为了促进邻里互助,增加居民之间的联系和交流,提高社区的凑聚力和活力,有利于促进社会的团绑。A、C选项属于个人层面目标,B选项属于社会层面的目标。故选D。"
2,社会工作者小何上门探访时了解到小娜的父亲因盗窃人狱 ，母亲离家出走 。小娜日常生活由身体残疾的爷爷照顾 ，爷孙俩依靠社会救助金维持基本生活 。小娜在学校总是沉默寡言 ，觉得同学看不起她 ，很少与人交往 。小何为小娜提供的下列服务中 ，最能体现促进人与社会环境相互适应功能的是 （）。,A. 鼓励小娜参加学校开设的兴趣小组B. 帮助小娜定期联系正在服刑的父亲C. 协助小娜爷爷申请困难残疾人生活补贴D. 联系小娜亲戚商议其日常生活照顾事宜,A,"本题考查的是社会工作对服务对象的功能。社会工作对服务对象的功能有: 促进服务对象的正常生活、恢复弱化的功能、促进人的发展、促进人与社会环境的相互适应。“促进人与社会环境的良性互动“,主要表现在:(1)解决问题、增强服务对象的能力以应对环境的压力;(2)改变不良环境,保证人们的正常生活;(3)改变个人的不良行为,以适应合理的制度;(4)促进人与社会环境的相互适应,实现关系和谐。小何鼓励小娜参加兴趣小组,可以增加其与同辈群体之间的交流和互动,提高其自信心和自我价值感,从而适应学校生活。故选A。"
3,社会工作是社会工作者有意识 、 有目的地帮助他人的活动，也是社会工作者向服务对象提供社会服务的过程 。下列关于社会工作过程的说法 ，正确的是 （）。,A. 社会工作过程是社会工作者给予服务对象必需品的过程B. 社会工作过程是社会工作者与服务对象持续互动的过程C. 社会工作过程是社会工作者为主 ，服务对象为辅的合作过程D. 社会工作过程是服务对象为主 ，社会工作者为辅的合作过程,B,"本题考查的是对社会工作过程的理解。社会工作者的服务过程是双方互动的过程,在这个过程中双方互为行动主体和客体;无所谓主次,双方都要理解对方并作出反应,而且这种互动是持续的、连锁式的过程(B正确)。社会工作者要考虑到服务对象的需要和接受服务、共同改变的能力,不能把服务对象视为纯粹被动的客体。服务对象也是行动的主体,他也将目己的意识、目的、对社会工作者行动的理解带入接受服务的过程,并直接影响着这一过程。A选项“社会工作者给予“、C选项“社会工作者为主,服务对象为辅“、D选项“服务对象为主,社会工作者为辅“的表述均错误。故选B。"
4,社会工作者小姜在社区走访中了解到社区中新来的随迁老人与本地人较难交流，也较少有机会参加社区活动，于是小姜策划小组活动帮助随迁老人尽快融人社区生活。小姜的下列做法中，最能体现支持者角色的是 （）。,A. 负责小组活动带领与管理 B. 邀请社区工作者观摩小组活动C. 评估随迁老人的正向改变 D. 鼓励随迁老人了解当地的风俗,D,"本题考查的是社会工作者的直接服务角色。支持者是指社会工作者面对服务对象(受助者)不但要提供直接服务或帮助,也要鼓励其在可能的情况下自强自立、克服困难,即“助人自助“。因此,社会工作者应该成为服务对象积极反应的支持者、鼓励者,并应尽量创造条件使其能够自立或自我发展。社会工作者“鼓励“随迁老人了解当地的风俗,有助于增加随迁老人的社会交往互动,促进其融人社区。故选D。"
5,某社会工作服务机构在对新人职社会工作者进行培训时，安排他们学习如何开展社区需求评估 。上述做法是为了让新入职社会工作者学习和补充 （）。,A. 心理知识 B. 政策知识 C. 技术知识 D. 文化知识,C,"本题考查的是社会工作者的知识素养。社会工作者要有效地达到助人目的,就必须掌握多种技术知识,包括调查研究的技术、口语和文字表达技术、现代资讯工具使用技术等。题干中,“安排他们学习如何开展社区需求评估“属于专业技术知识,故选C。"
6,下列关于社会工作价值观作用的说法 ，正确的是 （）。,A. 社会工作价值观有助于社会工作者维护社会公正B. 社会工作价值观可维护社会工作服务机构的利益C. 社会工作价值观要求社会工作者满足服务对象愿望D. 社会工作价值观促进社会工作者更好维护自身权益,A,"本题考查的是社会工作价值观的作用。社会工作专业价值观不同于个体的价值观,也不同于一般的社会价值观,它是社会工作者专业共同体内部的一种总体的价值偏好,代表着整个专业团体内部对社会正义、服务、个人价值与尊严、人类关系重要性、社会团结等的一般看法以及对专业活动标准的认定(A选项正确)。社会工作的服务,并不意昧着要无底线、无条件满足服务对象提出的一切愿望(C选项错误)。社会工作价值观为专业人员的职责和行为规范提供了指引,确保专业行动保护服务对象的利益(B、D选项错误)。故选A。"
7,社会工作者在服务过程中不把自己的价值观强加于服务对象，不指责和批判服务对象的言行与价值观，并且不将自己的负面情绪宣泄在服务对象身上 。上述做法体现的社会工作基本信念和实践原则是 （）,A. 尊重与接纳 B. 尊重与服务对象自我决定C. 独特性与接纳 D. 尊重与对服务对象非评判,D,"本题考查的是社会工作价值观的操作原则。(1)尊重:尊重不仅是一种思想上的认知,还是一种道德上的实跆。在服务过程中,社会工作者不应将自身的价值观强加于服务对象,更不应指责和批判服务对象的言行和价值观,也不能向服务对象发泄自己的负面情绪。(2)非评判:指社会工作者尊重服务对象在观念和生活方式上的选择,不作倾向性的批评和判断。具体体现为社会工作者对服务对象的伯格、性取向、生活方式、宗教、政治倾向等不作倾向性的批评和判断,尊重服务对象在观念和生活方式上的选择。(3)接纳:在专业服务过程中,社会工作者要从内心接纳服务对象,将他们当成工作过程中的重要伙伴,对服务对象的价值偏好、习惯、信仰等都应保持宽容与尊重的态度,绝不因服务对象的生理、心理、种族(民族)、性别、年龄、职业、社会地位、信仰等因素对他们产生任何歧视,更不能因为上述原因而拒绝为服务对象提供服务。接纳不等于认同。(4)独特性:社会工作者相信每个服务对象都是独特的,每个人都有不同的生命经验、不同的人格特征和潜质,社会工作者认真和真诚对待服务对象,不应当使用统一的服务方法回应他们的独特需要。(5)当事人自决:社会工作者有义务向服务对象提供必要的信息。服务对象有权利在充分知情的前提下选择服务的内容、方式,并在事关自身利益的决策中起主导作用。故选D。"
8,社会工作者老王计划通过筹款平台为 4 岁患有先天性心脏病的小明筹集医疗费用 。根据社会工作伦理守则，老王的下列做法最适宜的是 （）,A. 为增强筹款真实性，在平台配发小明卧病在床的照片B. 征得小明父母同意后 ，隐去小明可识别的信息后筹款C. 征得小明同意后 ，发动小明所在幼儿园老师捐款D. 根据小明的意愿，隐去小明可识别的信息后筹款,B,"本题考查的是社会工作伦理守则。社会工作专业伦理守则之一是尊重保密权和隐私权:社会工作者尊重和依循个人的保密权与隐私权,并在尊重这些权利的基础上工作。A选项,“配发小明卧病在床的照片“是属于侵害服务对象的隐私权。依据题干,小明4岁,属于未成年人,其信息公开需要征得其监护人的同意,C、D选项均是错误的。故选B。"
9,初中生小梁，性格内向，最近因琐事与母亲发生口角；父亲因其未完成寒假作业，对他进行严厉训斥 。小梁负气离家出走，后被民警在一废旧仓库里发现，将其转介给社会工作者小秦 。小梁表示自己不想活了，但又担心父母知道后伤心，并请小秦为自己保密 。在此情形下 ，小秦首先要遵循的伦理原则是 （）,A. 保护生命原则C. 自由自主原则B. 差别平等原则D. 最小伤害原则,A,"本题考查的是社会工作实跆中的伦理决定。(1)保护生命原则:最高原则,即保护生命原则高于其他所有伦理原则,社会工作者有义务保护受助者的生命,也包括保护其他人的生命;(2)差别平等原则:既要以平等的方式对待服务对象又要尊重差异;(3)自由自主原则:调动服务对象在服务参与中的积极性和能动性,尊重意见;(4)最小伤害原则:在作伦理决定和提供服务中,要尽力保护服务对象的利益不受到侵害。依据题干,小梁是初中生,且表示“不想活了“,社会工作者首先应当保护小梁的生命健康安全。在社会工作实跑中,保护生命原则要高于其他所有伦理原则。故选A。"
10,社会工作者小黄在暑期为社区流动儿童开设了 “友乐童行”小组 。组员小军的父母得知小黄和自己是同乡 ，特地送来水果 ，希望小黄多关照小军 ，多给他表现的机会 。此时 ，社会工作者面临的伦理难题是 （）。,A. 双重关系 B. 知情同意 C. 多元文化 D. 专业能力,A,"本题考查的是社会工作者面临的伦理难题。(1)双重关系:人情与法制及规定的冲突问题。社会工作者与服务对象超越专业关系时,便会陷人双重关系的困境。在中国的人情社会里,双重关系可能会给服务对象带来益处,但在社会工作过程中也有诸多弊端。这可能导致服务对象被利用,破坏伦理的实务界限,满足社会工作者的个人需求,并削弱社会工作者的公正性和判断力。(2)知情同意:充分告知服务对象影响其权益的情形,实施干预计划的每一个阶段征得服务对象的同意。(3)多元文化:尊重和理解服务对象在价值观、生活方式、意识形态等方面的立场与选择。(4)专业能力:通过培训、继续教育和自我教育,强化自身专业能力,社会工作者与服务对象应当保持专业界限,即专业关系。依据题一,同乡关系使得小军父母希望小黄多关心小军,使得小黄面临情、理、法的纠葛,属于“双重关系“。故选A。"
