Question_ID,Question,Selections,Answer,Explanation
1,"( ) 提出推进国家治理体系和治理能力现代化, 提出推进社会领域的制度创新, 加快形成科学有效的社会治理体系。从“社会管理” 变成“社会治理” 的表达的变化, 具有重要意义。",A. 十八届三中全会B. 十八届四中全会C. 十九届三中全会D. 十九届四中全会,A,"本题考查“社会治理” 概念的提出。党的十八届三中全会通过的《中共中央关于全面深化改革若干重大问题的决定》中采用了新的“社会治理” 概念, 代替了原来的“社会管理” 。提出社会治理的总体目标是“确保社会既充满活力又和谐有序”; 社会治理的主要方向是以人民利益为基础, 以维护社会和谐、社会发展活力、平安中国、国家安全、社会安定有序为基本方向。"
2,"根据《关于加强社会工作专业人才队伍建设的意见》对老年人福利机构、儿童福利机构、婚姻家庭服务机构、青少年服务机构等以社会工作服务为主的事业单位, 可将社会工作专业岗位明确为主体( ) 岗位。",A. 管理B. 工勤C. 专业技术D. 专业技能,C,"本题考查事业单位中社会工作专业岗位设置的规定。《关于加强社会工作专业人才队伍建设的意见》提出, 根据事业单位社会功能、职责任务、工作性质、人员结构等因素, 分类设置社会工作专业岗位。对老年人福利机构、残疾人福利和服务机构、儿童福利机构、收养服务机构、妇女儿童援助机构、困难职工帮扶机构、婚姻家庭服务机构、青少年服务机构、社会救助服务和管理机构、优抚安置服务保障机构等以社会工作服务为主的事业单位, 可将社会工作专业岗位明确为主体专业技术岗位。对学校、医院、人口计服生务机构等需要开展社会工作服务的单位, 要将社会工作专业岗位纳入专业技术岗位管理范围。故选C。"
3,"根据《民政部中央农村工作领导小组办公室财政部国家乡村振兴局关于进一步做好最低生活保障等社会救助兜底保障工作的通知》, 各地要加强政府购买社会救助服务, 提升社会救助专业化水平, 充分发挥社工、志愿者等作用, 在村级全面设立( ) , 困难群众较多的村(社区) 建立社会救助服务站( 点) 。",A. 民政协助员B. 社会救助协理员C. 民生救助员D. 社会福利救助员,B,"本题考查社会救助兜底保障工作的新规定。《民政部中央农村工作领导小组办公室财政部国家乡村振兴局关于进一步做好最低生活保障等社会救助兜底保障工作的通知》规定: 各地要加强基层社会救助经办服务能力建设, 通过政府购买社会救助服务, 在村级全面设立社会救助协理员, 困难群众较多的村(社区) 建立社会救助服务站( 点) 。加强社会救助业务培训、人才队伍建设, 采取政策解读、专家授课、案例培训、经验介绍等方式, 增强社会救助经办人员对政策的理解和把握, 提升服务水平。故选B。"
4,"受理最低生活保障申请后, 应当核查家庭收入。根据《最低生活保障审核确认办法》，农林牧渔业的生产收入, 属于家庭收入中的( ) 。",A. 工资性收入B. 财产净收入C. 转移净收入D. 经营净收入,D,"本题考查家庭收入的归类。家庭收入指共同生活的家庭成员在规定期限内获得的全部现金及实物收入。家庭收入包括工资性收入、经营净收入、财产净收入、转移净收入, 其中经营净收入指从事生产经营及有偿服务活动所获得全部经营收入扣除经营费用、生产性固定资产折旧和生产税之后得到的收入。包括从事种植、养殖、采集及加工等农林牧渔业的生产收入, 从事工业、建筑业、手工业、交通运输业、批发和零售贸易业、餐饮业、文教卫生业和社会服务业等经营及有偿服务活动的收入等。故选D。"
5,"根据《最低生活保障审核确认办法》, 关于申请最低生活保障的说法, 正确的是( ) 。","A. 不得委托他人代为提出申请B. 应当由户主向戶籍所在地村( 居) 民委员会提出书面申请C. 共同生活的家庭成员户籍所在地不在同一省, 且与经常居住地均不一致的, 家庭成员可单独向其经常居住地提出申请D. 共同生活的家庭成员户籍所在地不在同一省的, 可以由其中一个户籍所在地与经常居住地一致的家庭成员向其户籍所在地提出申请",D,"本题考查低保申请的规定。根据《最低生活保障审核确认办法》规定, 申请最低生活保障以家庭为单位, 由申请家庭确定一名共同生活的家庭成员作为申请人,向户籍所在地乡镇人民政府(街道办事处) 提出书面申请, B 选项错误。共同生活的家庭成员户籍所在地不在同一省( 自治区、直辖市) 的, 可以由其中一个户籍所在地与经常居住地一致的家庭成员向其户籍所在地提出申请, D 选项正确。共同生活的家庭成员户籍所在地与经常居住地均不一致的, 可由任一家庭成员向其户籍所在地提出申请, C选项错误。共同生活的家庭成员申请有困难的, 可以委托村( 居) 民委员会或者其他人代为提出申请。委托申请的, 应当办理相应委托手续, A 选项错误。故选D。"
6,"特困人员的法定义务人是否具备履行赡养、抚养、扶养义务能力是特困人员认定条件之一。根据《特困人员认定办法》, 下列人员作为法定义务人, ( ) 应当无履行义务能力。","A. 张某, 35 周岁, 特困人员 B. 王某, 50 周岁, 最低生活保障对象 C. 陶某, 60 周岁, 农民专业合作社成员, 听力残疾 D. 李某, 65 周岁, 退休职工",A,"本题考查无履行义务能力人员的规定。法定义务人符合下列情形之一的,应当认定为无履行义务能力: 特困人员, A 选项正确; 60 周岁以上的最低生活保障对象; 70 周岁以上的老年人, 本人收入低于当地上年人均可支配收入, 且其财产符合当地低收入家庭财产状况规定的; 重度残疾人和残疾等级为三级的智力、精神残疾人, 本人收入低于当地上年人均可支配收入, 且其财产符合当地低收入家庭财产状况规定的; 无民事行为能力、被宣告失踪或者在监狱服刑的人员, 且其财产符合当地低收入家庭财产状况规定的; 省、自治区、直辖市人民政府规定的其他情形。故选A。"
7,"根据《城乡医疗救助基金管理办法》, 关于医疗救助基金支付救助对象相关费用的说法, 正确的是( ) 。","A. 门诊医疗费用, 不予支付 B. 参加基本医疗保险所需费用, 医疗救助基金予以支付 C. 购买商业医疗保险费用, 医疗救助基金予以支付 D. 因故未参加基本医疗保险, 个人自付医疗费用, 医疗救助基金不予支付",B,"本题考查城乡医疗救助基金使用的规定。城乡医疗救助基金的救助方式以住院救助为主, 同时兼顾门诊救助, A 选项错误; 商业保险由群众自费购买, C 选项错误; 对因各种原因未能参加基本医疗保险的救助对象个人自付医疗费用, 可直接给予救助, D 选项错误。故选B。"
8,"小王是甲乙丙村最低生活保障家庭成员、初中三年级学生, 根据《社会救助暂行办法》, 小王申请教育补助应向( ) 提出。",A. 就读学校 B. 丙村村民委员会 C. 乙乡人民政府 D. 甲县教育局,A,"本题考查教育救助的程序。申请教育救助, 应当按照国家有关规定向就学校提出, 按规定程序审核、确认后, 由学校按照国家有关规定实施。故选A。"
9,"根据《社会救助暂行办法》, 最低生活保障家庭中有劳动能力但未就业的成员，应当接受人力资源社会保障等有关部门介绍的工作。无正当理由, 连续三次拒绝接受相关部门介绍的与其健康状况、劳动能力等相适应的工作的, 县级人民政府民政部门可以( ) 。",A. 停发其本人的最低生活保障金 B. 追回其本人的最低生活保障金 C. 停发其家庭的最低生活保障金D. 追回其家庭的最低生活保障金,A,"本题考查低保动态管理的规定。《社会救助暂行办法》规定, 最低生活保障家庭中有劳动能力但未就业的成员, 应当接受人力资源社会保障等有关部门介绍的工作; 无正当理,由连续三次拒绝接受介绍的与其健康状况、劳动能力等相适应的工作的, 县级人民政府民政部门应当决定减发或者停发其本人的最低生活保障金。故选A。"
10,"根据《社会救助暂行办法》, 城镇家庭申请住房救助的, 应当向( ) 提出。",A. 社区居民委员会B. 乡镇人民政府、街道办事处C. 县级人民政府民政部门D. 县级人民政府住房保障部门,D,"本题考查住房救助申请的规定。《社会救助暂行办法》规定, 城镇家庭申请住房救助的, 应当经由乡镇人民政府、街道办事或处者直接向县级人民政住府房保障部门提出, 经县级人民政府民政部门审核家庭收入、财产状况和县级人民政府住房保障部门审核家庭住房状况并公示后, 对符合申请条件的申请人, 由县级人民政府住房保障部门优先给予保障。农村家庭申请住房救助的, 按照县级以上人民政府有关规定执行。故选D。"
